BEER_ID	BEER	ABV	IBU	GRAVITY	COLOR	CATEGORY_ID	CATEGORY_NAME	STYLE_ID	STYLE_NAME
1862	AleSmith Grand Cru	10.5	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1025	AleSmith Horny Devil	11	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
2043	AleSmith Lil' Devil	5.5	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
1023	AleSmith Nautical Nut Brown Ale	4.8	20	1.011	22	13	Brown Ale	43	English Brown Ale
1027	AleSmith Old Numbskull	11	52	1.024	15	14	Barley Wine	41	English Barleywine
1028	AleSmith Speedway Stout	12	70	1.024	35	11	Stout	7	American Double / Imperial Stout
1029	AleSmith Wee Heavy	10	26	1.035	19	25	Scottish Style Ale	71	Scotch Ale / Wee Heavy
1031	AleSmith Yulesmith (Summer)	8.8	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1032	AleSmith Yulesmith (Winter)	9.5	32	1.012	13	29	Amber	1	American Amber / Red Ale
1600	Alken-Maes Grimbergen Blonde	6.7	25	1.012	11	30	Blonde	23	Belgian Pale Ale
1601	Alken-Maes Grimbergen Dubbel	6.5	20	1.013	13	33	Dubbel	28	Dubbel
2044	Alken-Maes Judas	8.5	NULL	NULL	NULL	36	Strong Ale	NULL	NULL
1861	Allagash Allagash Hugh Malone	8.5	55	1.014	11	10	India Pale Ale	22	Belgian IPA
28	Allagash Black	7.5	28	1.017	17	11	Stout	24	Belgian Strong Dark Ale
627	Allagash Curieux	11	30	1.011	6	9	Tripel	37	Tripel
628	Allagash Dubbel Reserve	7	20	1.013	13	33	Dubbel	28	Dubbel
1756	Allagash Fluxus 2010	10.3	70	1.024	35	11	Stout	7	American Double / Imperial Stout
629	Allagash Four	10	NULL	NULL	NULL	34	Quad	NULL	NULL
630	Allagash Grand Cru	7.2	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
631	Allagash Interlude	9.5	17	1.01	8	32	Wild Ale	14	American Wild Ale
1863	Allagash Odyssey	10	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
27	Allagash Tripel Reserve	9	30	1.011	6	9	Tripel	37	Tripel
632	Allagash White	5.2	15	1.01	3	26	Wheat Beer	38	Witbier
1610	Alpine Duet	6.75	50	1.014	11	10	India Pale Ale	8	American IPA
1611	Alpine Exponential Hoppiness	10.5	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1612	Alpine Nelson	7.1	50	1.014	11	10	India Pale Ale	8	American IPA
1613	Alpine Pure Hoppiness	8	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1235	Alvinne Balthazar	9	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1234	Alvinne Gaspar	8	55	1.014	11	10	India Pale Ale	22	Belgian IPA
1236	Alvinne Melchior	11	52	1.024	15	14	Barley Wine	41	English Barleywine
1237	Alvinne Podge Belgian Imperial Stout	10.5	70	1.024	35	11	Stout	56	Russian Imperial Stout
57	Amstel Amstel Light	3.5	10	1.001	3	20	Lager	80	Light Lager
1040	Anchor Anchor Liberty Ale	6	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1041	Anchor Anchor Porter	5.6	35	1.014	29	23	Porter	11	American Porter
832	Anchor Anchor Steam	4.9	38	1.013	12	15	Steam Beer	79	California Common / Steam Beer
1864	Anchor Bock Beer	5.5	22	1.016	17	16	Bock Beer	86	Bock
1865	Anchor Christmas Ale 2009	5.5	25	1.016	17	36	Strong Ale	57	Winter Warmer
1866	Anchor Small Beer	3.3	30	1.009	9	28	Bitter	42	English Bitter
1867	Anchor Summer Beer	4.6	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
1033	Anderson Valley Barney Flats Oatmeal Stout	5.7	33	1.015	32	11	Stout	54	Oatmeal Stout
1034	Anderson Valley Boont Amber Ale	5.8	32	1.012	13	29	Amber	1	American Amber / Red Ale
1868	Anderson Valley Boont ESB	6.8	40	1.013	12	28	Bitter	51	Extra Special / Strong Bitter (ESB)
1869	Anderson Valley Brother David's Triple	10	30	1.011	6	9	Tripel	37	Tripel
1035	Anderson Valley Deep Enders Dark Porter	5.5	35	1.014	29	23	Porter	11	American Porter
1036	Anderson Valley Hop Ottin IPA	7	50	1.014	11	10	India Pale Ale	8	American IPA
1037	Anderson Valley Poleeko Gold Pale Ale	5.5	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1038	Anderson Valley Winter Solstice	6.9	25	1.016	17	36	Strong Ale	57	Winter Warmer
633	Anheuser-Busch Bare Knuckle Stout	4.2	37	1.009	32	11	Stout	68	Irish Dry Stout
125	Anheuser-Busch Bud Ice Light	4.1	10	1.001	3	20	Lager	80	Light Lager
123	Anheuser-Busch Budweiser	5	10	1.006	3	20	Lager	74	American Adjunct Lager
124	Anheuser-Busch Budweiser American Ale	5.3	32	1.012	13	29	Amber	1	American Amber / Red Ale
126	Anheuser-Busch Budweiser Select	4.3	10	1.001	3	20	Lager	80	Light Lager
1045	Anheuser-Busch InBev Bass Pale Ale	5	30	1.01	9	31	Pale Ale	46	English Pale Ale
1070	Anheuser-Busch InBev Boddingtons Pub Ale	4.7	30	1.01	9	31	Pale Ale	46	English Pale Ale
634	Anheuser-Busch InBev Bud Light	4.2	10	1.006	3	20	Lager	74	American Adjunct Lager
1870	Anheuser-Busch InBev Bud Light Golden Wheat	4.1	20	1.013	8	8	Misc	102	Herbed / Spiced Beer
635	Anheuser-Busch InBev Bud Light Lime	4	10	1.006	3	44	Fruit/Vegetable	74	American Adjunct Lager
1893	Anheuser-Busch InBev Busch Beer	4.6	10	1.006	3	20	Lager	74	American Adjunct Lager
1894	Anheuser-Busch InBev Busch Light	4.1	10	1.001	3	20	Lager	80	Light Lager
956	Anheuser-Busch InBev Hoegaarden	5	15	1.01	3	26	Wheat Beer	38	Witbier
1598	Anheuser-Busch InBev LandShark Lager	4.7	10	1.006	3	20	Lager	74	American Adjunct Lager
972	Anheuser-Busch InBev Leffe Blonde	6.6	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
973	Anheuser-Busch InBev Leffe Brune	6.5	25	1.015	16	13	Brown Ale	21	Belgian Dark Ale
451	Anheuser-Busch InBev Redbridge	4.8	32	1.01	17	45	Specialty Grain	75	American Amber / Red Lager
1599	Anheuser-Busch InBev Shock Top	5.2	15	1.01	3	26	Wheat Beer	38	Witbier
636	Anheuser-Busch LandShark Lager	4.7	10	1.006	3	20	Lager	74	American Adjunct Lager
637	Anheuser-Busch Natural Light	4.2	10	1.006	3	20	Lager	74	American Adjunct Lager
638	Anheuser-Busch Rolling Rock	4.5	10	1.006	3	20	Lager	74	American Adjunct Lager
639	Anheuser-Busch Rolling Rock Light	3.59	10	1.006	3	20	Lager	74	American Adjunct Lager
640	Anheuser-Busch Rolling Rock Red	5	10	1.006	3	20	Lager	74	American Adjunct Lager
641	Anheuser-Busch Stone Mill Pale Ale	5.3	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
642	Anheuser-Busch Wild Blue Blueberry Lager	8	NULL	NULL	NULL	44	Fruit/Vegetable	NULL	NULL
643	Anheuser-Busch Wild Hop Lager	5	NULL	NULL	NULL	20	Lager	NULL	NULL
2045	Arcadia Angler's Ale	5.4	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
58	Arcadia Cocoa Loco	7	55	1.016	35	11	Stout	12	American Stout
59	Arcadia Hop Rocket	9	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
644	Arcadia Hopmouth Double IPA	8.1	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
645	Arcadia Imperial Stout	8.4	NULL	NULL	NULL	11	Stout	NULL	NULL
646	Arcadia India Pale Ale	5.9	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
60	Arcadia Jaw-Jacker	6	20	1.013	8	44	Fruit/Vegetable	102	Herbed / Spiced Beer
647	Arcadia London Porter	7.2	27	1.011	25	23	Porter	48	English Porter
61	Arcadia Shipwreck Porter	7	30	1.02	23	23	Porter	39	Baltic Porter
1039	Asahi Breweries Asahi Super Dry	5	12	1.006	3	20	Lager	100	Japanese Rice Lager
1504	Asia Pacific Tiger Beer	5	10	1.006	3	20	Lager	74	American Adjunct Lager
1042	Atlantic Bar Harbor Blueberry Ale	5.2	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
1043	Atlantic Bar Harbor Coal Porter	6.5	35	1.014	29	23	Porter	11	American Porter
1044	Atlantic Bar Harbor Real Ale	5.2	20	1.011	22	13	Brown Ale	43	English Brown Ale
2077	Atlantic Brother Adam's Bragget Ale	11.8	NULL	NULL	NULL	8	Misc	NULL	NULL
62	Augustiner Edelstoff	5.6	19	1.01	4	20	Lager	94	Munich Helles Lager
63	Augustiner Maximator	7.5	21	1.02	16	16	Bock Beer	87	Doppelbock
1871	Avery Collaboration Not Litigation	8.72	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
1872	Avery DuganA IPA	8.5	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
886	Avery Ellie's Brown	5.55	20	1.011	22	13	Brown Ale	43	English Brown Ale
887	Avery Hog Heaven	9.2	NULL	NULL	NULL	14	Barley Wine	NULL	NULL
888	Avery India Pale Ale	6	50	1.014	11	10	India Pale Ale	8	American IPA
1874	Avery Karma	5.2	25	1.012	11	31	Pale Ale	23	Belgian Pale Ale
889	Avery Maharaja	10.3	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
890	Avery Mephistopheles	15.92	NULL	NULL	NULL	11	Stout	NULL	NULL
891	Avery New World Porter	6.7	35	1.014	29	23	Porter	11	American Porter
892	Avery Old Jubilation	8	25	1.016	17	36	Strong Ale	57	Winter Warmer
893	Avery Out Of Bounds Stout	5.1	37	1.009	32	11	Stout	68	Irish Dry Stout
1875	Avery Salvation	9	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
1876	Avery Samael's Ale	14.5	52	1.024	15	14	Barley Wine	41	English Barleywine
2046	Avery Seventeen	7.69	NULL	NULL	NULL	43	Schwarzbier	NULL	NULL
894	Avery The Beast Grand Cru	16.31	28	1.017	17	36	Strong Ale	24	Belgian Strong Dark Ale
885	Avery The Czar	10.77	NULL	NULL	NULL	11	Stout	NULL	NULL
1873	Avery The Kaiser	10.03	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
895	Avery The Reverend	10	NULL	NULL	NULL	34	Quad	NULL	NULL
896	Avery White Rascal	5.5	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
897	Aying Altbairisch Dunkel	5	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
898	Aying Brau-Weisse	5.1	12	1.012	5	26	Wheat Beer	63	Hefeweizen
899	Aying Celebrator Doppelbock	6.7	21	1.02	16	16	Bock Beer	87	Doppelbock
900	Aying Jahrhundert	5.5	NULL	NULL	NULL	20	Lager	NULL	NULL
901	Aying Oktober Fest-Märzen	5.8	NULL	NULL	NULL	42	Marzen	NULL	NULL
1609	Aying Ur-Weisse	5.8	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
1792	Aying Weizen-Bock	7.1	22	1.019	19	26	Wheat Beer	67	Weizenbock
902	Ballast Point Big Eye IPA	6	50	1.014	11	10	India Pale Ale	8	American IPA
903	Ballast Point Black Marlin Porter	5.9	35	1.014	29	23	Porter	11	American Porter
904	Ballast Point Calico Amber Ale	5	NULL	NULL	NULL	29	Amber	NULL	NULL
905	Ballast Point Dorado Double IPA	9.6	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
906	Ballast Point Sculpin IPA	7	50	1.014	11	10	India Pale Ale	8	American IPA
1735	Ballast Point Victory at Sea	10	35	1.014	29	23	Porter	11	American Porter
907	Ballast Point Wahoo Wheat	4	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
908	Ballast Point Yellowtail Pale Ale	4.6	25	1.009	4	39	Kolsch	65	Kölsch
2049	Baltika #2	4.7	NULL	NULL	NULL	20	Lager	NULL	NULL
2050	Baltika #3 Classic	4.8	NULL	NULL	NULL	20	Lager	NULL	NULL
2051	Baltika #4 Dark Lager	5.6	NULL	NULL	NULL	20	Lager	NULL	NULL
2052	Baltika #5 Golden Lager	5.3	NULL	NULL	NULL	20	Lager	NULL	NULL
2053	Baltika #6 Porter	7	NULL	NULL	NULL	23	Porter	NULL	NULL
2054	Baltika #7 Export Lager	5.4	NULL	NULL	NULL	20	Lager	NULL	NULL
2055	Baltika #8 Wheat Ale	5	NULL	NULL	NULL	26	Wheat Beer	NULL	NULL
2056	Baltika #9 Extra Lager	8	NULL	NULL	NULL	20	Lager	NULL	NULL
2057	Baltika Cooler	4.7	NULL	NULL	NULL	20	Lager	NULL	NULL
2048	Baltika Lite	4.4	NULL	NULL	NULL	20	Lager	NULL	NULL
2047	Baltika Non-Alcoholic	0.5	NULL	NULL	NULL	8	Misc	NULL	NULL
2058	Banks Banks Beer	4.7	NULL	NULL	NULL	20	Lager	NULL	NULL
1047	Bavik Bavik Premium Pils	5.2	35	1.01	4	12	Pilsner	90	German Pilsener
1877	Bavik Petrus Aged Pale	7.3	15	1.015	19	32	Wild Ale	30	Flanders Oud Bruin
1878	Bavik Petrus Oud Bruin	5.5	15	1.015	19	32	Wild Ale	30	Flanders Oud Bruin
1879	Bavik Wittekerke	5	15	1.01	3	26	Wheat Beer	38	Witbier
1794	Bayern Dragon's Breath	5.6	13	1.012	18	26	Wheat Beer	61	Dunkelweizen
1880	Beamish & Crawford Beamish Irish Stout	4.1	37	1.009	32	11	Stout	68	Irish Dry Stout
1048	Bear Republic Big Bear Black Stout	8.1	70	1.024	35	11	Stout	56	Russian Imperial Stout
1049	Bear Republic Hop Rod Rye	8	50	1.014	11	10	India Pale Ale	8	American IPA
1881	Bear Republic Peter Brown Tribute Ale	6.3	32	1.012	27	13	Brown Ale	4	American Brown Ale
1050	Bear Republic Racer 5	7	50	1.014	11	10	India Pale Ale	8	American IPA
1882	Bear Republic Racer X	9	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1051	Bear Republic Red Rocket Ale	6.8	32	1.012	13	29	Amber	1	American Amber / Red Ale
1883	Bear Republic XP Pale Ale	5.5	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1682	Beau's Lug Tread	5.2	25	1.009	4	39	Kolsch	65	Kölsch
1052	Beck's Beck's	4.9	35	1.01	4	12	Pilsner	90	German Pilsener
1884	Beck's Beck's Dark	4.8	23	1.013	21	20	Lager	93	Munich Dunkel Lager
1885	Beck's Beck's Oktoberfest	5	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
1757	Beer Here Mørke	7.5	30	1.02	23	23	Porter	39	Baltic Porter
1053	Belhaven Scottish Ale	5.2	18	1.012	13	25	Scottish Style Ale	72	Scottish Ale
1054	Belhaven Scottish Stout	7	38	1.01	33	11	Stout	49	English Stout
1055	Belhaven St. Andrews Ale	4.6	18	1.012	13	25	Scottish Style Ale	72	Scottish Ale
1056	Belhaven Twisted Thistle IPA	6.1	50	1.014	11	10	India Pale Ale	45	English India Pale Ale (IPA)
1057	Belhaven Wee Heavy	6.5	26	1.035	19	25	Scottish Style Ale	71	Scotch Ale / Wee Heavy
65	Bell's Amber Ale	6	32	1.012	13	29	Amber	1	American Amber / Red Ale
70	Bell's Barrel Aged Cherry Stout	8.5	70	1.024	35	44	Fruit/Vegetable	7	American Double / Imperial Stout
73	Bell's Barrel Aged Double Cream Stout	10	70	1.024	35	11	Stout	7	American Double / Imperial Stout
71	Bell's Barrel Aged Expedition Stout	12	70	1.024	35	11	Stout	56	Russian Imperial Stout
72	Bell's Barrel Aged Java Stout		70	1.024	35	11	Stout	7	American Double / Imperial Stout
66	Bell's Batch 6,000	10.5	85	1.022	14	14	Barley Wine	2	American Barleywine
67	Bell's Batch 8,000	9	15	1.01	3	26	Wheat Beer	38	Witbier
68	Bell's Best Brown Ale	5.8	20	1.011	22	13	Brown Ale	43	English Brown Ale
69	Bell's Big Head	11.07	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
74	Bell's Cherry Ale	6	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
75	Bell's Christmas Ale	5.8	18	1.012	13	25	Scottish Style Ale	72	Scottish Ale
1886	Bell's Consecrator Doppelbock	8	21	1.02	16	16	Bock Beer	87	Doppelbock
76	Bell's Eccentric Ale	11	85	1.02	13	36	Strong Ale	13	American Strong Ale
77	Bell's Expedition Stout	10.5	70	1.024	35	11	Stout	56	Russian Imperial Stout
78	Bell's Golden Rye	6.5	22	1.012	17	45	Specialty Grain	19	Rye Beer
79	Bell's Harry Magill's Spiced Stout	7.9	70	1.024	35	11	Stout	7	American Double / Imperial Stout
80	Bell's Hell Hath No Fury	7.7	28	1.017	17	33	Dubbel	24	Belgian Strong Dark Ale
81	Bell's Hopslam	10	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
82	Bell's Kalamazoo Stout	6	55	1.016	35	11	Stout	12	American Stout
83	Bell's Lager Beer	4.5	10	1.006	3	20	Lager	78	American Pale Lager
84	Bell's Oarsman Ale	4.5	7	1.004	3	26	Wheat Beer	60	Berliner Weissbier
85	Bell's Oatmeal Stout	5.7	33	1.015	32	11	Stout	54	Oatmeal Stout
86	Bell's Oberon	6	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
87	Bell's Octoberfest	5.8	23	1.014	11	42	Marzen	95	Märzen / Oktoberfest
88	Bell's Pale Ale	5.3	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
89	Bell's Poolside Ale	5.5	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
90	Bell's Porter	5.6	35	1.014	29	23	Porter	11	American Porter
91	Bell's Raspberry Ale	6	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
1887	Bell's Rye Stout	6.7	55	1.016	35	11	Stout	12	American Stout
92	Bell's Smoked Stout	6	55	1.016	35	41	Smoked Beer	12	American Stout
93	Bell's Sparkling Ale	9	30	1.011	6	9	Tripel	37	Tripel
94	Bell's Special Double Cream Stout	6.1	30	1.019	35	11	Stout	53	Milk / Sweet Stout
95	Bell's The Oracle		90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1668	Bell's Third Coast Beer	4.8	20	1.011	4	30	Blonde	3	American Blonde Ale
1667	Bell's Third Coast Old Ale	10.2	45	1.019	16	38	Old Ale	55	Old Ale
96	Bell's Time Capsule Ale	10.5	85	1.022	14	14	Barley Wine	2	American Barleywine
648	Bell's Two Hearted Ale	7.1	50	1.014	11	10	India Pale Ale	8	American IPA
97	Bell's Winter White	5	15	1.01	3	26	Wheat Beer	38	Witbier
98	Big Sky Biere de Noel	8.75	28	1.017	17	34	Quad	24	Belgian Strong Dark Ale
649	Big Sky IPA	6.2	NULL	NULL	NULL	10	India Pale Ale	NULL	NULL
99	Big Sky Ivan the Terrible	8.75	70	1.024	35	11	Stout	56	Russian Imperial Stout
650	Big Sky Moose Drool	5.3	32	1.012	27	13	Brown Ale	4	American Brown Ale
100	Big Sky Olde Bluehair	8.75	85	1.022	14	14	Barley Wine	2	American Barleywine
651	Big Sky Powder Hound Winter Ale	6.2	25	1.016	17	29	Amber	57	Winter Warmer
652	Big Sky Scape Goat Pale Ale	4.7	NULL	NULL	NULL	31	Pale Ale	NULL	NULL
101	Big Sky Smoove Cherry Ale	8.75	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
653	Big Sky Summer Honey	4.7	NULL	NULL	NULL	30	Blonde	NULL	NULL
909	Bitburger Bitburger Premium Pils	4.8	NULL	NULL	NULL	20	Lager	NULL	NULL
1062	Black Sheep Black Sheep Ale	4.4	30	1.01	9	31	Pale Ale	46	English Pale Ale
1060	Black Sheep Monty Python's Holy Grail	4.7	30	1.01	9	31	Pale Ale	46	English Pale Ale
1061	Black Sheep Riggwelter Yorkshire Ale	5.7	20	1.011	22	13	Brown Ale	43	English Brown Ale
1064	Blue Point Brewing Blue Point Blueberry	4.6	13	1.012	8	44	Fruit/Vegetable	101	Fruit / Vegetable Beer
1065	Blue Point Brewing Hoptical Illusion	6.8	50	1.014	11	10	India Pale Ale	8	American IPA
1066	Blue Point Brewing Old Howling Bastard	10	85	1.022	14	14	Barley Wine	2	American Barleywine
1067	Blue Point Brewing Toasted Lager	5.3	32	1.012	13	29	Amber	1	American Amber / Red Ale
1068	Bockor Bellegems Bruin	5.5	15	1.015	19	32	Wild Ale	30	Flanders Oud Bruin
1069	Bockor Cuvee des Jacobins Rouge	5.5	18	1.007	13	32	Wild Ale	31	Flanders Red Ale
1847	Boon Rawd Singha	5	12	1.006	3	20	Lager	84	Euro Pale Lager
654	Bosteels Deus Brut des Flandres	11.5	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
655	Bosteels Pauwel Kwak	8	28	1.011	4	36	Strong Ale	25	Belgian Strong Pale Ale
602	Bosteels Tripel Karmeliet	8	30	1.011	6	9	Tripel	37	Tripel
1075	Boulder Beer Cold Hop	6.5	50	1.014	11	10	India Pale Ale	45	English India Pale Ale (IPA)
1076	Boulder Beer Hazed and Infused	4.85	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1077	Boulder Beer Killer Penguin	10	85	1.022	14	14	Barley Wine	2	American Barleywine
1079	Boulder Beer Mojo IPA	7.2	50	1.014	11	10	India Pale Ale	8	American IPA
1078	Boulder Beer Mojo Risin	10.5	90	1.017	12	10	India Pale Ale	6	American Double / Imperial IPA
1080	Boulder Beer Never Summer	5.94	25	1.016	17	36	Strong Ale	57	Winter Warmer
1081	Boulder Beer Obovoid	8	70	1.024	35	11	Stout	56	Russian Imperial Stout
1082	Boulder Beer Pass Time Pale Ale	4.96	37	1.012	9	31	Pale Ale	9	American Pale Ale (APA)
1083	Boulder Beer Planet Porter	5.51	35	1.014	29	23	Porter	11	American Porter
1084	Boulder Beer Sweaty Betty Blonde	5.9	13	1.01	3	26	Wheat Beer	10	American Pale Wheat Ale
112	Boulevard Boulevard Pilsner		35	1.01	4	12	Pilsner	90	German Pilsener
111	Boulevard Bourbon Barrel Quad	11.8	28	1.017	17	34	Quad	35	Quadrupel (Quad)
